Simulation Number,Number of customers serviced,Average Delivery Time,Maximum Delivery Time,Average time in elevator,Maximum time in elevator,Average Customers in a queue,Number of customers in longest queue,Average Time in a queue,Longest Time in a queue,Total Number of stops for each elevator,,,,Number of times max load occur in each elevator,,,,Percentage of total timeeach elevator is in transport,,,,Percentage of available time each elevator is in transport,,,
0,380,106.3030369089381,342.5782567076071,53.70976253298147,139.0,0.02894736842105263,11,100.36100209613635,239.57825670760712,114, 87, 70, 41,0, 0, 0, 0,0.3499, 0.2704, 0.218, 0.1246,0.6501, 0.7296, 0.782, 0.8754
1,383,96.0042728971429,206.0,51.449999999999946,130.0,0.007832898172323759,3,75.25265389091237,187.73406364267794,102, 97, 72, 40,0, 0, 1, 0,0.3477, 0.3229, 0.2346, 0.1314,0.6523, 0.6771, 0.7654, 0.8686
2,413,105.08178610795399,364.1648723218541,52.274271844660134,145.0,0.01937046004842615,8,123.25903569915079,263.1648723218541,127, 96, 78, 42,0, 1, 1, 0,0.3836, 0.3227, 0.2474, 0.1477,0.6164000000000001, 0.6773, 0.7525999999999999, 0.8523000000000001
3,394,100.59064322993046,278.42489077908,50.35623409669218,124.0,0.012690355329949238,5,94.80814896678281,161.42489077908,125, 83, 81, 46,0, 0, 1, 0,0.4184, 0.3074, 0.2593, 0.1648,0.5816, 0.6926, 0.7407, 0.8351999999999999
4,384,97.55379731722134,238.0227573695466,49.45430809399471,127.0,0.010416666666666666,4,66.44800632208796,92.47265560405049,118, 94, 76, 29,0, 0, 0, 0,0.4066, 0.3246, 0.2693, 0.0956,0.5933999999999999, 0.6754, 0.7307, 0.9044
5,428,103.82988390590369,487.6788090436103,51.22014051522245,136.0,0.028037383177570093,12,199.36645619578167,439.6788090436103,121, 111, 83, 44,0, 0, 0, 0,0.3888, 0.3383, 0.2705, 0.1389,0.6112, 0.6617, 0.7295, 0.8611
6,396,101.15902461430868,429.6551763536363,50.184810126582256,134.0,0.020202020202020204,8,124.8274776430257,322.6551763536363,118, 100, 71, 40,0, 0, 0, 0,0.3814, 0.3195, 0.2268, 0.1312,0.6186, 0.6805, 0.7732, 0.8688
7,403,95.65199637725983,466.36495176257176,51.34825870646763,133.0,0.007444168734491315,3,240.24330117504783,360.36495176257176,110, 100, 73, 43,0, 0, 0, 1,0.3607, 0.3159, 0.2303, 0.1313,0.6393, 0.6840999999999999, 0.7697, 0.8687
8,464,101.18312581345448,237.06257500788433,52.65010799136064,133.0,0.023706896551724137,11,60.99119416890012,152.99157037603027,135, 110, 84, 43,0, 0, 1, 0,0.4293, 0.3754, 0.2861, 0.1413,0.5707, 0.6246, 0.7139, 0.8587
9,436,104.86422805803538,306.92719644818044,52.993103448275804,126.0,0.022935779816513763,10,136.5352782112604,195.02197360370337,136, 98, 75, 44,1, 0, 0, 0,0.4144, 0.3317, 0.2593, 0.1549,0.5856, 0.6683, 0.7407, 0.8451
